old_shopify_url,content_type,current_handle_slug,proposed_nextjs_url,action,notes
/,home,(none),/,PRESERVE,Live homepage. Canonical host www.jiujitsubrotherhood.com.
/shop,shop-alias,shop,/collections/all,301,"Approved Phase 2B override (17 Sep 2026). Live Shopify /shop is a homepage duplicate (canonical /); rebuilt JJB shop destination is the established catalogue URL /collections/all."
/collections,collection-index,(none),/collections,PRESERVE,Live 200 collections list. Export redirect /collections → /collections/enso-3-0 is stale (enso-3-0 is live 404) and must not be re-applied.
/collections/all,collection-catalog,all,/collections/all,PRESERVE,Live Shopify catalog used by Main Menu Shop. Not in collections.json or sitemap_collections.
/search,shopify-system,search,/search,PRESERVE,Live Shopify search. Path can stay /search; implementation is separate. Not in JSON export.
/cart,shopify-system,cart,/cart,PRESERVE,Keep public cart path /cart. Do not use KJJ /shop/bag/ as the public URL.
/policies/privacy-policy,shopify-policy,privacy-policy,/pages/privacy-policy,301,Live Shopify system policy URL. Page HTML lives at /pages/privacy-policy. One hop.
/policies/terms-of-service,shopify-policy,terms-of-service,/pages/terms-conditions,301,Live Shopify system policy URL. Closest page is /pages/terms-conditions.
/policies/refund-policy,shopify-policy,refund-policy,/pages/terms-conditions,301,Live Shopify refund policy. Returns copy currently sits on terms.
/policies/shipping-policy,shopify-policy,shipping-policy,(gone),410,Live 404. No shipping policy in export.
/blogs/articles,blog-index-empty,articles,/blogs/articles,PRESERVE,Title 'Blog'. Zero articles but live 200 and in sitemap. Do not 301 to /blogs/blog.
/blogs/blog,blog-index,blog,/blogs/blog,PRESERVE,"Title 'Articles'. 122 articles. Live 200, in sitemap. Canonical has no trailing slash."
/blogs/news,blog-index-empty,news,/blogs/news,PRESERVE,Title 'News'. Zero articles but live 200 and in sitemap. Do not 301 to /blogs/blog.
/blogs/podcast,blog-index-empty,podcast,/blogs/podcast,PRESERVE,Title 'Podcasts'. Zero articles but live 200 and in sitemap. Do not 301 to /blogs/blog.
/blogs/techniques,blog-index,techniques,/blogs/techniques,PRESERVE,"Title 'Techniques'. 61 articles. Live 200, in sitemap. Canonical has no trailing slash."
/blogs/videos,blog-index-empty,videos,/blogs/videos,PRESERVE,Title 'Videos'. Zero articles but live 200 and in sitemap. Do not 301 to /blogs/blog.
/blogs/blog/10-000-hours-just-start,article,10-000-hours-just-start,/blogs/blog/10-000-hours-just-start,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/10-reasons-your-jiu-jitsu-isnt-getting-better,article,10-reasons-your-jiu-jitsu-isnt-getting-better,/blogs/blog/10-reasons-your-jiu-jitsu-isnt-getting-better,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/1912-jiu-jitsu-demo-the-roots-of-bjj,article,1912-jiu-jitsu-demo-the-roots-of-bjj,/blogs/blog/1912-jiu-jitsu-demo-the-roots-of-bjj,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/5-tips-to-instantly-improve-your-guard,article,5-tips-to-instantly-improve-your-guard,/blogs/blog/5-tips-to-instantly-improve-your-guard,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/5-ways-jiujitsu-benefits-children-autism,article,5-ways-jiujitsu-benefits-children-autism,/blogs/blog/5-ways-jiujitsu-benefits-children-autism,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/6-tips-for-older-jiu-jitsu-players,article,6-tips-for-older-jiu-jitsu-players,/blogs/blog/6-tips-for-older-jiu-jitsu-players,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/a-brief-history-of-bjj,article,a-brief-history-of-bjj,/blogs/blog/a-brief-history-of-bjj,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/a-coach-is-more-than-just-a-teacher,article,a-coach-is-more-than-just-a-teacher,/blogs/blog/a-coach-is-more-than-just-a-teacher,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/a-deeper-understanding-of-jiu-jitsu,article,a-deeper-understanding-of-jiu-jitsu,/blogs/blog/a-deeper-understanding-of-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/a-glossary-of-bjj-terms,article,a-glossary-of-bjj-terms,/blogs/blog/a-glossary-of-bjj-terms,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/a-goodbye-to-my-friend-oli-geddes,article,a-goodbye-to-my-friend-oli-geddes,/blogs/blog/a-goodbye-to-my-friend-oli-geddes,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/a-jiu-jitsu-experience,article,a-jiu-jitsu-experience,/blogs/blog/a-jiu-jitsu-experience,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/are-you-overtraining-in-jiu-jitsu,article,are-you-overtraining-in-jiu-jitsu,/blogs/blog/are-you-overtraining-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/attending-your-first-jiu-jitsu-class,article,attending-your-first-jiu-jitsu-class,/blogs/blog/attending-your-first-jiu-jitsu-class,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/back-pain-and-jiu-jitsu,article,back-pain-and-jiu-jitsu,/blogs/blog/back-pain-and-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/become-a-master-of-escapes,article,become-a-master-of-escapes,/blogs/blog/become-a-master-of-escapes,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/bjj-and-grappling-skin-infections-part-1-ringworm,article,bjj-and-grappling-skin-infections-part-1-ringworm,/blogs/blog/bjj-and-grappling-skin-infections-part-1-ringworm,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/bjj-and-grappling-skin-infections-part-2-staph-and-impetigo,article,bjj-and-grappling-skin-infections-part-2-staph-and-impetigo,/blogs/blog/bjj-and-grappling-skin-infections-part-2-staph-and-impetigo,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/bjj-and-grappling-skin-infections-part-3-herpes-gladiatorum,article,bjj-and-grappling-skin-infections-part-3-herpes-gladiatorum,/blogs/blog/bjj-and-grappling-skin-infections-part-3-herpes-gladiatorum,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/bjj-over-40-50-beyond-tips-for-older-grapplers,article,bjj-over-40-50-beyond-tips-for-older-grapplers,/blogs/blog/bjj-over-40-50-beyond-tips-for-older-grapplers,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/bjj-strength-blitz-game-changing-workout,article,bjj-strength-blitz-game-changing-workout,/blogs/blog/bjj-strength-blitz-game-changing-workout,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/bjjs-biggest-weakness-is-its-new-secret-weapon,article,bjjs-biggest-weakness-is-its-new-secret-weapon,/blogs/blog/bjjs-biggest-weakness-is-its-new-secret-weapon,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/brazilian-jiu-jitsu-competitions,article,brazilian-jiu-jitsu-competitions,/blogs/blog/brazilian-jiu-jitsu-competitions,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/caffeine-jiu-jitsu,article,caffeine-jiu-jitsu,/blogs/blog/caffeine-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/can-jiu-jitsu-athletes-benefit-from-the-ecological-method-a-coachs-perspective,article,can-jiu-jitsu-athletes-benefit-from-the-ecological-method-a-coachs-perspective,/blogs/blog/can-jiu-jitsu-athletes-benefit-from-the-ecological-method-a-coachs-perspective,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/cauliflower-ears-in-jiu-jitsu,article,cauliflower-ears-in-jiu-jitsu,/blogs/blog/cauliflower-ears-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/choosing-the-right-bjj-academy-for-you,article,choosing-the-right-bjj-academy-for-you,/blogs/blog/choosing-the-right-bjj-academy-for-you,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/control-your-breathing,article,control-your-breathing,/blogs/blog/control-your-breathing,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/cross-training-in-wrestling-and-jiu-jitsu,article,cross-training-in-wrestling-and-jiu-jitsu,/blogs/blog/cross-training-in-wrestling-and-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/cut-weight-jiu-jitsu-competitions,article,cut-weight-jiu-jitsu-competitions,/blogs/blog/cut-weight-jiu-jitsu-competitions,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/dealing-with-injuries-in-jiu-jitsu,article,dealing-with-injuries-in-jiu-jitsu,/blogs/blog/dealing-with-injuries-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/do-you-know-who-invented-these-bjj-techniques,article,do-you-know-who-invented-these-bjj-techniques,/blogs/blog/do-you-know-who-invented-these-bjj-techniques,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/eddie-bravo-a-jiu-jitsu-original,article,eddie-bravo-a-jiu-jitsu-original,/blogs/blog/eddie-bravo-a-jiu-jitsu-original,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/family-jiu-jitsu,article,family-jiu-jitsu,/blogs/blog/family-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/fear-and-courage,article,fear-and-courage,/blogs/blog/fear-and-courage,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/first-it-s-an-art,article,first-it-s-an-art,/blogs/blog/first-it-s-an-art,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/five-ways-to-naturally-boost-your-immune-system,article,five-ways-to-naturally-boost-your-immune-system,/blogs/blog/five-ways-to-naturally-boost-your-immune-system,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/gi-or-no-gi,article,gi-or-no-gi,/blogs/blog/gi-or-no-gi,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/grappling-martial-arts,article,grappling-martial-arts,/blogs/blog/grappling-martial-arts,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/gripping-and-hand-issues-in-jiu-jitsu,article,gripping-and-hand-issues-in-jiu-jitsu,/blogs/blog/gripping-and-hand-issues-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/helio-gracies-big-concern,article,helio-gracies-big-concern,/blogs/blog/helio-gracies-big-concern,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/how-to-drop-body-fat,article,how-to-drop-body-fat,/blogs/blog/how-to-drop-body-fat,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/how-to-learn-jiu-jitsu-faster,article,how-to-learn-jiu-jitsu-faster,/blogs/blog/how-to-learn-jiu-jitsu-faster,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/how-to-overcome-low-back-pain-in-brazilian-jiu-jitsu,article,how-to-overcome-low-back-pain-in-brazilian-jiu-jitsu,/blogs/blog/how-to-overcome-low-back-pain-in-brazilian-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/how-to-roll-as-an-older-grappler-without-breaking-yourself,article,how-to-roll-as-an-older-grappler-without-breaking-yourself,/blogs/blog/how-to-roll-as-an-older-grappler-without-breaking-yourself,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
