record_kind,content_role,shopify_id,title,handle,blog_handle,blog_title,canonical_url,is_published,published_at,created_at,updated_at,author,has_summary,summary_chars,body_format,body_chars_text,body_bytes,has_featured_image,featured_image_url,featured_image_alt,seo_title,seo_description,tags,inline_image_count,youtube_or_iframe,iframe_count,internal_link_count,external_link_count,transform_link_count,sample_transform_links,migration_difficulty,difficulty_flags,appears_complete,recommended_treatment,decision_needed,notes_extra
technique,technique,gid://shopify/Article/606540759322,Terminator Guard Passing,terminator-guard-passing,techniques,Techniques,/blogs/techniques/terminator-guard-passing,true,2023-11-30T12:19:16Z,2023-11-30T12:03:48Z,2023-12-09T11:42:31Z,JJB Admin,true,107,html,446,971,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Terminator_Passing_YouTube.png?v=1701345828,,,"In this video, 3rd-degree black belt Rob Taylor teaches a guard passing concept that he uses to pass the de la Riva guard. He compares the feeling underneath the pass to a famous moment in the Terminator movie!",belts|Gis|patches|rashguards,0,yes,1,0,1,0,,C,embed;product-like-tags,yes,MIGRATE,no,Tags look like Shopify product collection tags; strip on import
article,article,gid://shopify/Article/606559076634,Fear and Courage in Martial Arts,fear-and-courage,blog,Articles,/blogs/blog/fear-and-courage,true,2023-12-10T08:54:02Z,2023-12-05T11:38:15Z,2023-12-10T08:54:54Z,JJB Admin,true,87,html,9955,12503,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Fear_and_Courage.png?v=1701776921,,,"Fear, courage, the discomfort zone and personal development in martial arts and beyond.",belts|Gis|patches|rashguards,6,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/606503010586,BJJ Strength Blitz: Game-Changing Workout,bjj-strength-blitz-game-changing-workout,blog,Articles,/blogs/blog/bjj-strength-blitz-game-changing-workout,true,2023-11-19T08:52:03Z,2023-11-19T08:52:03Z,2023-12-10T08:56:59Z,JJB Admin,true,319,html,4267,5242,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Leigh_s_5x5_Workout.png?v=1700383924,,,"MMA legend Leigh Remedios unveils his current strength workout, which starkly contrasts his earlier workouts. This workout is dynamic, unusual, convenient, and highly effective, backed by the latest studies. It can be done as little as once or twice per week, making it ideal for jiu jitsu practitioners with less time.",belts|rashguards,0,yes,1,1,2,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/405425619004,The Rear Naked Choke - The King of Submissions,the-rear-naked-choke-the-king-of-submissions,blog,Articles,/blogs/blog/the-rear-naked-choke-the-king-of-submissions,true,2019-09-02T23:00:00Z,2020-01-04T02:37:32Z,2023-12-10T08:58:16Z,JJB Admin,true,122,html,4593,4962,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Rear_Naked_Choke.png?v=1578477225,,,"This article provides a comprehensive exploration of the technique, strategies, and nuances behind this iconic submission.",Category_Techniques|Gis|patches,0,no,0,0,2,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426700348,The Science of Jiu Jitsu,the-science-of-jiu-jitsu,blog,Articles,/blogs/blog/the-science-of-jiu-jitsu,true,2018-06-19T23:00:00Z,2020-01-04T02:38:29Z,2023-12-10T09:00:20Z,JJB Admin,true,192,html,10192,13233,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Science_of_BJJ.png?v=1579169207,,The Science of Jiu Jitsu,"In this article, we look at the physics behind BJJ and demonstrate how the interplay of leverage, force and mass work together to create effective technique.",belts|patches|rashguards,6,no,0,6,0,6,http://www.jiujitsubrotherhood.com/wp-content/uploads/Screen-Shot-2018-06-20-at-9.15.10-AM.png | http://www.jiujitsubrotherhood.com/wp-content/uploads/Screen-Shot-2018-06-20-at-9.15.23-AM.png | http://www.jiujitsubrotherhood.com/wp-content/uploads/armbar-short-lever.jpg | http://www.jiujitsubrotherhood.com/wp-content/uploads/armbar-long-lever.jpg | http://www.jiujitsubrotherhood.com/wp-content/uploads/sidemount-short-lever.jpg,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405427028028,BJJ's Biggest Weakness is it's New Secret Weapon,bjjs-biggest-weakness-is-its-new-secret-weapon,blog,Articles,/blogs/blog/bjjs-biggest-weakness-is-its-new-secret-weapon,true,2018-12-29T00:00:00Z,2020-01-04T02:38:45Z,2023-12-10T09:02:07Z,JJB Admin,true,168,html,5197,5761,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Secret_Weapon.png?v=1579172677,,,What a landmark study of hundreds of jiu jitsu matches shows about your likelihood of winning almost any match under the BJJ ruleset.,Gis|patches,1,no,0,0,0,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426962492,Mobility Training for Jiu Jitsu,mobility-training-for-jiu-jitsu,blog,Articles,/blogs/blog/mobility-training-for-jiu-jitsu,true,2019-02-09T00:00:00Z,2020-01-04T02:38:41Z,2023-12-10T09:10:02Z,JJB Admin,true,154,html,22749,25334,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Mobility.png?v=1579078698,,,Mobility expert Billy Edelen shows you which simple exercises you should be doing if you want to keep your joints healthy and movements on the mat smooth.,belts|patches|rashguards,5,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405424603196,Sleep and the Jiu Jitsu Practitioner,sleep-and-the-jiu-jitsu-practitioner,blog,Articles,/blogs/blog/sleep-and-the-jiu-jitsu-practitioner,true,2013-11-08T00:00:00Z,2020-01-04T02:36:41Z,2023-12-10T09:14:17Z,JJB Admin,true,169,html,7899,8537,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Sleep_4e83f376-7373-40bf-96df-f2bde725f493.png?v=1579426271,,The Importance of Sleep for the BJJ Player,Sleep researchers Ian Dunican and James Caldwell share their insights on sleep and how important it is for the jiu jitsu practitioner.,belts|Gis|patches|rashguards,1,no,0,1,0,1,http://jiujitsubrotherhood.com/wp-content/uploads/sleep-and-jiu-jitsu.jpg,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405424799804,How to Learn Jiu Jitsu Faster,how-to-learn-jiu-jitsu-faster,blog,Articles,/blogs/blog/how-to-learn-jiu-jitsu-faster,true,2014-05-04T23:00:00Z,2020-01-04T02:36:50Z,2023-12-10T09:15:16Z,JJB Admin,true,174,html,6211,7768,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Learn_faster.png?v=1579429831,,Adapting Your Learning Style to Jiu Jitsu,"Many instructors adopt a one-size-fits-all approach to teaching BJJ, but we all learn in different ways - improve faster with this formula.",belts|Gis|rashguards,2,no,0,1,1,1,http://www.jiujitsubrotherhood.com/wp-content/uploads/teaching_jiu_jitsu.png,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426929724,Cross Training in Wrestling and Jiu Jitsu,cross-training-in-wrestling-and-jiu-jitsu,blog,Articles,/blogs/blog/cross-training-in-wrestling-and-jiu-jitsu,true,2019-01-13T00:00:00Z,2020-01-04T02:38:40Z,2023-12-10T09:19:13Z,JJB Admin,true,118,html,10147,11794,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Cross_Training_with_Wrestling.png?v=1579083405,,,"This article was written by former collegiate wrestler, member of Thailand’s national freestyle wrestling team, and current combat sports enthusiast Che Chengsupanimit. He writes about how to improve your takedowns and achieve higher performance both physically and mentally.",patches|rashguards|shorts|spats,0,no,0,0,2,0,,A,,yes,MIGRATE,no,
